Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2008 Community Reinvestment Act (CRA) Aggregate Data (Banking-Finance-and-Insurance/2008-Community-Reinvestment-Act-CRA-Aggregate-Data/cp9a-9zht),"2008 data on small business, small farm, and community development lending reported by certain commercial banks and savings institutions, pursuant to the Community Reinvestment Act (CRA).n","Banking, Finance, and Insurance","small business, FFIEC, lending, aggregate, Community Reinvestment Act, savings institutions, CRA, commercial banks, community development, small farm",0,0,cp9a-9zht,Annual,CY2008,Federal Reserve Board,,Y,N,Raw Data Catalog,cp9a-9zht,,,,1440
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Veterans Health Administration 2008 Hospital Report Card - Patient Satisfaction (Health-and-Nutrition/Veterans-Health-Administration-2008-Hospital-Repor/jmdz-e9wx),"Report to the Appropriations Committee of the United States House of Representatives in Response to Conference Committee Report to PL 110-186.  In an effort to provide a snapshot of the quality of care provided at VA health care facilities, this report includes information about waiting times, staffing level, infection rates, surgical volumes, quality measures, patient satisfaction, service availability and complexity, accreditation status, and patient safety. The data in this report have been drawn from multiple sources across VHA.  This dataset represents patient satisfaction based on survey data broken out by ethnicity.",Health and Nutrition,"Healthcare, Satisfaction, Quality of Care, Hospital Accreditation, Patient Safety, Veterans",0,0,jmdz-e9wx,Annual,2007,Department of Veterans Affairs,,N,N,Raw Data Catalog,jmdz-e9wx,,,,1209
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Process of Care Measures – Children’s Asthma (http://data.medicare.gov/dataset/Hospital-Process-of-Care-Measures-Children-s-Asthm/88j3-pn2g),"A list of hospitals and their quality measure ratings related to children’s asthma care. Asthma is a chronic lung condition that causes problems getting air in and out of the lungs. Children with asthma may experience wheezing, coughing, chest tightness and trouble breathing.",,"hospital compare, process of care, poc, quality, ratings, cac",0,0,88j3-pn2g,,,,,,,,88j3-pn2g,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"Aviation Accident Statistics: Accidents, Fatalities, and Rates, 1991 - 2010, U.S. General Aviation (Transportation/Aviation-Accident-Statistics-Accidents-Fatalities-/awg2-szg4)","Aviation Accident Statistics: Accidents, Fatalities, and Rates, 1991 through 2010, U.S. General Aviation",Transportation,"accidents, NTSB, fatalities, general aviation, Safety Board, transportation",0,0,awg2-szg4,annual,1991 - 2010,National Transportation Safety Board,,Y,Y,Raw Data Catalog,awg2-szg4,,,,1575
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Marketable securities and savings bonds issued in TreasuryDirect (Federal-Government-Finances-and-Employment/Marketable-securities-and-savings-bonds-issued-in-/skwb-kadu),Sales and conversion data for securities issued in TreasuryDirect,Federal Government Finances and Employment,"marketable securities, TreasuryDirect, all-electronic, securities, TIPS, Legacy Treasury Direct, dollars, conversions, savings bonds, Bonds, Treasury Bills, C of I, Notes",0,0,skwb-kadu,Monthly,2002-2009,Department of the Treasury,Bureau of the Public Debt,N,N,Raw Data Catalog,skwb-kadu,,,,960
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,RSS Feed for Third Current Tropical Cyclone in the Eastern Pacific (Geography-and-Environment/RSS-Feed-for-Third-Current-Tropical-Cyclone-in-the/emvu-heed),The National Weather Service (NWS) National Hurricane Center uses regularly updated RSS feeds to disseminate latest advisories and graphics for a current storm in the Eastern Pacific.,Geography and Environment,"Eastern Pacific, tropical cyclones, marine, forecast, warning, hurricanes, watch, advisory, temperature, discussion, outlooks",0,0,emvu-heed,hourly,Present ,Department of Commerce,National Oceanic and Atmospheric Administration,Y,N,Tool Catalog,emvu-heed,,,,2432
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,FAFSA Application Volume (Education/FAFSA-Application-Volume/z5q2-dqsu),"These reports provide information on the number of Free Applications for Federal Student Aid (FAFSAs) processed.  One report provides the number of applications by the applicant's state of legal residence and the other report provides the number of applications by postsecondary institution, as listed on the applicant's FAFSA.  In both reports, numbers are reported in two categories: dependent students and independent students.",Education,"Free Application for Federal Student Aid, FAFSA, Title IV Programs, Financial Aid",0,0,z5q2-dqsu,Reports are updated quarterly.,2006-Present,Department of Education,Federal Student Aid,Y,Y,Tool Catalog,z5q2-dqsu,,,,1578
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Air Quality Forecast Guidance (Geography-and-Environment/Air-Quality-Forecast-Guidance/y4ie-6h8e),"NOAA's National Weather Service National Air Quality Forecast System (AQFS) Graphic Forecast displays (http://www.weather.gov/aq) are web based presentations of gridded forecast guidance originating from the National Centers for Environmental Prediction (NCEP). Ozone and smoke data are displayed for a domain covering contiguous United States, Alaska and Hawaii.  Ozone is shown as 1-hour and 8-hour average concentrations(in parts per billion or ppb), and smoke concentration in 1-hour averages, updated twice daily.  Fire locations are provided by the NOAA's Satellite and Information Service Hazard Mapping System.  Additional information on air quailty can be found under EPA's AIRNow site.     For further information, please visit NOAA's Air Resources  Laboratory web site (http://www.arl.noaa.gov).",Geography and Environment,"particulates, health, quality, smoke, pollution, prediction, air, ozone, forecast",0,0,y4ie-6h8e,Twice daily,Each hour in the forecast period between 1 and 48 hours ahead,Department of Commerce,National Oceanic and Atmospheric Administration,N,Y,Tool Catalog,y4ie-6h8e,,,,2008
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Federal Bureau of Investigation Widget (Law-Enforcement-Courts-and-Prisons/Federal-Bureau-of-Investigation-Widget/hwp2-9a2f),Provides links to FBI content by incorporating the widgets and modules into websites or blogs.,"Law Enforcement, Courts, and Prisons","report, child predators, terrorists, news, FBI, top 10, sex offender registry, FBI history, top stories, national, tip, report crime, most wanted, federal widget, protect children, radio sound bytes, fugitives, famous cases, missing person, terrorism",0,0,hwp2-9a2f,,,Department of Justice,Federal Bureau of Investigation,N,N,Tool Catalog,hwp2-9a2f,,,,117
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,2008 Toxics Release Inventory data for the state of California (Geography-and-Environment/2008-Toxics-Release-Inventory-data-for-the-state-o/wpf6-kcmg),Toxics Release Inventory Data.  The Toxics Release Inventory (TRI) is a publicly available EPA database that contains information on toxic chemical releases and waste management activities reported annually by facilities in certain industries as well as federal facilities.,Geography and Environment,"TRI State Data, TRI Data, PBT, Toxic Release Inventory, NAICS, TRI Reporting, section 313, Toxics Release Inventory, TRI Preliminary Data, Chemicals, Toxics Release, pollution prevention, community, TRI, EPCRA, Form R, facilities, Hazardous, toxic chemical release inventory, TRI Report, Toxic Release, source reduction, Toxics, waste management, facility, TRI 2009 Data, 2009, industry, Chemical Pollution, Right to Know, toxic chemicals release inventory, Chemical Release, Chemical, EPCRA 313, industries, Form A, Toxic, community right to know",0,0,wpf6-kcmg,Annual,Calendar Year 2008,Environmental Protection Agency,,Y,N,Raw Data Catalog,wpf6-kcmg,,,,3902
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Renal Dialysis Facility Medicare Cost Report Data - FY 2008 (Health-and-Nutrition/Renal-Dialysis-Facility-Medicare-Cost-Report-Data-/cdav-dbkp),A collection of Renal Dialysis Facility Medicare cost report data from the CMS Form 265-94.,Health and Nutrition,"Renal, HCRIS, Dialysis, Reimbursement, ESRD, community.health",0,0,cdav-dbkp,Quarterly,2008,Department of Health and Human Services,Centers for Medicare and Medicaid Services,N,N,Raw Data Catalog,cdav-dbkp,,,,789
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Web-based Injury Statistics Query and Reporting System (WISQARS) (Health-and-Nutrition/Web-based-Injury-Statistics-Query-and-Reporting-Sy/7wb6-fze9),"WISQARS is an interactive query system that provides data on injury deaths, violent deaths, and nonfatal injuries treated in U.S. emergency departments.",Health and Nutrition,"emergency department visits, violent deaths, leading causes of death, YPLL, Injury deaths, community.health, nonfatal injuries, years of potential life lost",0,0,7wb6-fze9,Updated annually,"1981-2006 for injury deaths, 2003-2006 for violent deaths, 2000-2007 for nonfatal injuries",Department of Health and Human Services,Centers for Disease Control and Prevention,N,N,Tool Catalog,7wb6-fze9,,,,129
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Resource Requirements for 2010 Budget Request (State-and-Local-Government-Finances-and-Employment/Resource-Requirements-for-2010-Budget-Request/mnhi-747y),Budget Submission to Congress for FY 2010,State and Local Government Finances and Employment,"Discretionary, Budget Requsest, Resource, ONHIR, Requirements",0,0,mnhi-747y,annual,"FY2008 actual, FY2009 request, FY2010 request",Office of Navajo and Hopi Indian Relocation,,N,N,Raw Data Catalog,mnhi-747y,,,,1349
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Western Information Office (Labor-Force-Employment-and-Earnings/Western-Information-Office/vnkj-4uda),"The Western BLS Information Office in San Francisco services the states of Alaska, Arizona, California, Hawaii, Idaho, Nevada, Oregon, and Washington.","Labor Force, Employment, and Earnings","Inflation and Consumer Spending, Employment and Unemployment, Pay and Benefits, Workplace Injuries",0,0,vnkj-4uda,Monthly,Various sources of data,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,vnkj-4uda,,,,346
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Office of Advocacy's News Update File (Other/Office-of-Advocacy-s-News-Update-File/fdcu-m2ge),"This is a xml news update file to inform the public about recent regulatory alerts, Advocacy small business statistics reports, Advocacy small business research reports, and Advocacy regulatory comment letters",Other,"regulatory reform, xml, small business, news, real time, RSS, Regulatory Alerts, Regulatory Flexibility Act, federal data download, small business statistics, small firms, federal datasets, Statistics, small businesses, small business data, Research, alerts, Really Simple Syndication, SBA, Regulatory Policy, small business research, RFA, Advocacy",0,0,fdcu-m2ge,Weekly,3 months from posted date,Small Business Administration,,N,N,Raw Data Catalog,fdcu-m2ge,,,,40
